UniProt1	UniProt2	symbol1	symbol2	evidence type	heart
A0MZ66	A0MZ66	SHTN1	SHTN1	exp	1
A1X283	A1X283	SH3PXD2B	SH3PXD2B	exp;pred	1
O00148	O00148	DDX39A	DDX39A	exp;pred	1
O00161	O00161	SNAP23	SNAP23	exp	1
O00180	O00180	KCNK1	KCNK1	exp	1
O00182	O00182	LGALS9	LGALS9	exp;pred	1
O00206	O00206	TLR4	TLR4	exp;ortho	1
O00182	O00214	LGALS9	LGALS8	exp;pred	1
O00214	O00214	LGALS8	LGALS8	exp;pred	1
O00221	O00221	NFKBIE	NFKBIE	exp	1
O00267	O00267	SUPT5H	SUPT5H	exp;ortho	1
O00273	O00273	DFFA	DFFA	exp	1
O00291	O00291	HIP1	HIP1	exp	1
O00165	O00303	HAX1	EIF3F	exp	1
A6NKD9	O00308	CCDC85C	WWP2	exp	1
O00308	O00308	WWP2	WWP2	exp	1
O00159	O00422	MYO1C	SAP18	exp	1
O00483	O00483	NDUFA4	NDUFA4	exp	1
O00459	O00571	PIK3R2	DDX3X	exp	1
O00422	O00571	SAP18	DDX3X	exp	1
O00303	O00571	EIF3F	DDX3X	exp;pred	1
A7E2Y1	O00629	MYH7B	KPNA4	exp	1
O00505	O00629	KPNA3	KPNA4	exp;pred	1
O00159	O00716	MYO1C	E2F3	exp	1
O00221	O00743	NFKBIE	PPP6C	exp;pred	1
O00762	O00762	UBE2C	UBE2C	exp;ortho	1
O00763	O00763	ACACB	ACACB	exp;pred	1
O00716	O00767	E2F3	SCD	exp	1
O00522	O14562	KRIT1	UBFD1	exp	1
O14579	O14579	COPE	COPE	exp	1
O14593	O14593	RFXANK	RFXANK	exp	1
O00203	O14617	AP3B1	AP3D1	exp;pred	1
O00159	O14639	MYO1C	ABLIM1	exp	1
O14640	O14640	DVL1	DVL1	exp;ortho	1
O00308	O14640	WWP2	DVL1	exp;pred	1
O00212	O14640	RHOD	DVL1	exp	1
O14640	O14641	DVL1	DVL2	exp;ortho;pred	1
O00308	O14641	WWP2	DVL2	exp	1
O00743	O14641	PPP6C	DVL2	exp	1
O00291	O14641	HIP1	DVL2	exp	1
O14641	O14641	DVL2	DVL2	exp;ortho;pred	1
