,symbol1,symbol2
0,TCAP,TTN
1,TCAP,CSRP3
2,TCAP,ENO3
3,TCAP,ENO1
4,TCAP,MYOZ1
5,TCAP,KLHL41
6,TCAP,PDPK1
7,TCAP,MDM2
8,TCAP,CBX5
9,TCAP,RELA
10,TCAP,MYOZ3
11,TCAP,HSPB3
12,TCAP,ATXN1
13,TCAP,HSPB2
14,TCAP,ADPGK
15,TCAP,SMURF2
16,TCAP,HSPA4
17,TCAP,CRK
18,TCAP,MYOZ2
19,TCAP,NUP133
20,TCAP,TTC19
21,TCAP,LHX4
22,TCAP,CHORDC1
23,TCAP,HSPG2
24,TCAP,LAMTOR5
25,TCAP,FYN
26,TCAP,ANKRD2
27,TCAP,FAS
28,TCAP,STUB1
29,TCAP,TRIM55
30,TCAP,TRIM63
31,TCAP,SIVA1
32,ABCC9,KCNJ8
33,ABCC9,HSPB2
34,ABCC9,STX1A
35,ABCC9,LDHA
36,FKTN,HLA-DPA1
37,FKTN,TMEM5
38,FKTN,CNBP
39,LDB3,MYOZ1
40,LDB3,RHOA
41,LDB3,ACTN2
42,LDB3,NPC2
43,LDB3,MYOZ3
44,LDB3,MYOZ2
45,LDB3,ATP5F1
46,NEBL,XIRP1
47,NEBL,HOMER3
48,NEBL,DHX38
49,NEBL,CEP170
50,NEBL,GOLGA2
51,NEBL,TRIM63
52,NEBL,TRAF1
53,NEBL,ZDHHC17
54,NEBL,LZTS2
55,NEBL,ACTN1
56,NEBL,CCDC136
57,NEBL,SCLT1
58,NEBL,GCHFR
59,NEBL,SMURF2
60,NEBL,NAXD
61,NEBL,DCTN1
62,NEBL,ACTN3
63,NEBL,GMCL1
64,NEBL,MYPN
65,NEBL,ZNF764
66,NEBL,ZYX
67,NEBL,ACTB
68,NEBL,TRIM27
69,NEBL,TRIM55
70,NEBL,NUTM1
71,NEBL,MED28
72,NEBL,ESR2
73,SLC22A5,HMGCS1
74,SLC22A5,YIPF3
75,SLC22A5,JUN
76,SLC22A5,ELAVL1
77,SLC22A5,SLC9A3R2
78,EYA4,BAG3
79,EYA4,ERC1
80,EYA4,QSER1
81,EYA4,EOGT
82,EYA4,DVL3
83,EYA4,PLEC
84,EYA4,RPA3
85,EYA4,PKP2
86,EYA4,AAK1
87,EYA4,AATK
88,EYA4,MAPK1IP1L
89,EYA4,DCTPP1
90,EYA4,LUZP1
91,EYA4,PFDN2
92,EYA4,CCDC88A
93,EYA4,SIX2
94,EYA4,COQ5
95,EYA4,GLO1
96,EYA4,SOAT1
97,EYA4,URGCP
98,EYA4,UBE2D2
99,EYA4,HELZ
100,EYA4,ERBB3
101,EYA4,FOXJ2
102,EYA4,RPA2
103,EYA4,EYA4
104,BAG3,ELMO1
105,BAG3,PAIP2
106,BAG3,ZNF428
107,BAG3,DOK4
108,BAG3,CAMK1D
109,BAG3,EFCAB2
110,BAG3,AAMDC
111,BAG3,STARD7
112,BAG3,HSF1
113,BAG3,BCL2
114,BAG3,PGK1
115,BAG3,HSPB1
116,BAG3,C1QTNF7
117,BAG3,PEF1
118,BAG3,ZCCHC14
119,BAG3,GALE
120,BAG3,RTRAF
121,BAG3,WDFY3
122,BAG3,TMEM126A
123,BAG3,PYCR1
124,BAG3,ASL
125,BAG3,INIP
126,BAG3,SQSTM1
127,BAG3,WNK1
128,BAG3,ENOPH1
129,BAG3,UBE2K
130,BAG3,SDC1
131,BAG3,PSMD8
132,BAG3,CCT7
133,BAG3,OLA1
134,BAG3,ST13
135,BAG3,METTL21A
136,BAG3,CSTB
137,BAG3,NANS
138,BAG3,AK2
139,BAG3,FMR1
140,BAG3,NFKBIB
141,BAG3,DYNLT1
142,BAG3,TMEM92
143,BAG3,GSTM4
144,BAG3,ADI1
145,BAG3,SF3B4
146,BAG3,SRP19
147,BAG3,PRPS2
148,BAG3,PSME3
149,BAG3,RASIP1
150,BAG3,RPS12
151,BAG3,RAB2B
152,BAG3,OVOL2
153,BAG3,MUM1
154,BAG3,PTPN2
155,BAG3,TNFAIP1
156,BAG3,NUBP2
157,BAG3,XPNPEP3
158,BAG3,HNRNPUL1
159,BAG3,CLCN5
160,BAG3,PSME1
161,BAG3,CTBP1
162,BAG3,AIFM1
163,BAG3,PSMB1
164,BAG3,PDCD6IP
165,BAG3,DPH2
166,BAG3,DOCK8
167,BAG3,PABPC1
168,BAG3,TRAPPC2L
169,BAG3,POLR2H
170,BAG3,DBNL
171,BAG3,TAGLN
172,BAG3,CAPZB
173,BAG3,BCLAF1
174,BAG3,PSMC1
175,BAG3,SOD1
176,BAG3,UBA2
177,BAG3,CNST
178,BAG3,TTC1
179,BAG3,MAPRE1
180,BAG3,YWHAZ
181,BAG3,MAP3K4
182,BAG3,MAP4
183,BAG3,FKBP1A
184,BAG3,GRB2
185,BAG3,MAPK11
186,BAG3,YWHAB
187,BAG3,GDI2
188,BAG3,COASY
189,BAG3,NASP
190,BAG3,SKP1
191,BAG3,CEP162
192,BAG3,HSF2
193,BAG3,PSMB4
194,BAG3,GSTM3
195,BAG3,PSME2
196,BAG3,EZR
197,BAG3,DYNC2LI1
198,BAG3,PTPN14
199,BAG3,ANXA11
200,BAG3,PDGFC
201,BAG3,KRT79
202,BAG3,PGM2
203,BAG3,LRBA
204,BAG3,DBR1
205,BAG3,ANXA1
206,BAG3,S100A8
207,BAG3,ST6GALNAC4
208,BAG3,MCM6
209,BAG3,SRPK2
210,BAG3,RAB1A
211,BAG3,GORASP2
212,BAG3,SAE1
213,BAG3,PHLDB1
214,BAG3,FAM189B
215,BAG3,HSP90AA1
216,BAG3,EWSR1
217,BAG3,CMBL
218,BAG3,CKAP5
219,BAG3,TMSB10
220,BAG3,SPAG16
221,BAG3,MAT2B
222,BAG3,C21orf59
223,BAG3,BAG1
224,BAG3,ZSCAN20
225,BAG3,LSP1
226,BAG3,STMN1
227,BAG3,PLXNA3
228,BAG3,TPT1
229,BAG3,GPKOW
230,BAG3,ABAT
231,BAG3,PAFAH1B2
232,BAG3,CPNE1
233,BAG3,LRRK2
234,BAG3,ZNF655
235,BAG3,CRYAB
236,BAG3,LIFR
237,BAG3,NEK9
238,BAG3,MCM7
239,BAG3,DLG3
240,BAG3,IRAK1
241,BAG3,PSMC3
242,BAG3,SEM1
243,BAG3,PSAP
244,BAG3,ARRDC3
245,BAG3,HSPA4
246,BAG3,GLRX2
247,BAG3,URB2
248,BAG3,MED1
249,BAG3,SUGT1
250,BAG3,CD40
251,BAG3,HAAO
252,BAG3,EIF4EBP2
253,BAG3,BAG3
254,BAG3,TINF2
255,BAG3,SPIN1
256,BAG3,XPNPEP1
257,BAG3,ANXA2
258,BAG3,UBE2N
259,BAG3,TIMM9
260,BAG3,EVL
261,BAG3,PSMB3
262,BAG3,MLF2
263,BAG3,KEAP1
264,BAG3,FAM84A
265,BAG3,CASP3
266,BAG3,DNAJB4
267,BAG3,ATXN3
268,BAG3,AGPAT1
269,BAG3,MVP
270,BAG3,WBP2
271,BAG3,PDLIM7
272,BAG3,DPCD
273,BAG3,ETFA
274,BAG3,APOPT1
275,BAG3,P4HB
276,BAG3,PBLD
277,BAG3,POT1
278,BAG3,CSRP1
279,BAG3,SYNPO2
280,BAG3,PLCG1
281,BAG3,UBE2L3
282,BAG3,HSPB8
283,BAG3,GSTA1
284,BAG3,HSPA2
285,BAG3,UBE2Z
286,BAG3,PEBP1
287,BAG3,CAVIN1
288,BAG3,GNAO1
289,BAG3,S100A14
290,BAG3,RTFDC1
291,BAG3,RAB5A
292,BAG3,TERF1
293,BAG3,CDK1
294,BAG3,CDK17
295,BAG3,PNISR
296,BAG3,TIMM10
297,BAG3,FAM189A2
298,BAG3,RAB7A
299,BAG3,YWHAQ
300,BAG3,STUB1
301,BAG3,CAPZA1
302,BAG3,PSMB5
303,BAG3,UBE2G2
304,BAG3,ATG4B
305,BAG3,BID
306,BAG3,UBAP2L
307,BAG3,UNC5CL
308,BAG3,NUP93
309,BAG3,FOSB
310,BAG3,PSMD5
311,BAG3,TWF2
312,BAG3,SENP1
313,BAG3,ACAT2
314,BAG3,API5
315,BAG3,SSBP2
316,BAG3,ANXA5
317,BAG3,TMEM252
318,BAG3,LITAF
319,BAG3,RAB1B
320,BAG3,YWHAH
321,BAG3,RANBP2
322,BAG3,TSTA3
323,BAG3,GFRA1
324,BAG3,FLCN
325,BAG3,PRKDC
326,BAG3,DUSP23
327,BAG3,MACROD1
328,BAG3,GSTO1
329,BAG3,ISG15
330,BAG3,HSP90AB1
331,BAG3,CCDC186
332,BAG3,PSMA2
333,BAG3,LSM5
334,BAG3,STIL
335,BAG3,RASL11B
336,BAG3,CDK5RAP1
337,BAG3,EXOSC1
338,BAG3,IKBKG
339,BAG3,PANX1
340,BAG3,CLK1
341,BAG3,HNRNPU
342,BAG3,GNAI3
343,BAG3,SYNPO
344,BAG3,TIMP2
345,BAG3,HERC4
346,BAG3,WIPI2
347,BAG3,CDCA3
348,BAG3,NECTIN3
349,BAG3,PARP1
350,BAG3,ALDOC
351,BAG3,CTSA
352,BAG3,MCL1
353,BAG3,DIMT1
354,BAG3,SF3B2
355,BAG3,YWHAG
356,BAG3,PSAT1
357,BAG3,CPNE2
358,BAG3,AIMP2
359,BAG3,ALDH3B1
360,BAG3,YWHAE
361,BAG3,TFAP2A
362,BAG3,OSMR
363,BAG3,HTT
364,BAG3,NAP1L1
365,BAG3,SH3YL1
366,BAG3,ANKS1A
367,BAG3,PLEC
368,BAG3,HDAC6
369,BAG3,SLC25A5
370,BAG3,DOHH
371,BAG3,RPSA
372,BAG3,BDKRB2
373,BAG3,VIM
374,BAG3,PDLIM3
375,BAG3,KLHL34
376,BAG3,GAB1
377,BAG3,PSMA5
378,BAG3,AMOT
379,BAG3,CRK
380,BAG3,FAM118A
381,BAG3,FAM168A
382,BAG3,UBE2I
383,BAG3,FBXW11
384,BAG3,SEC13
385,BAG3,GPI
386,BAG3,TOM1L2
387,BAG3,PPIL3
388,BAG3,PSMC5
389,BAG3,ACD
390,BAG3,GGA1
391,BAG3,S100A1
392,BAG3,VDAC1
393,BAG3,MRPS10
394,BAG3,COPZ1
395,BAG3,SLC25A6
396,BAG3,SSH2
397,BAG3,MAPK7
398,BAG3,ZNF3
399,BAG3,UCHL3
400,BAG3,NR2C2AP
401,BAG3,NAP1L5
402,BAG3,CNOT7
403,BAG3,ZNF426
404,BAG3,NQO1
405,BAG3,ARPC1A
406,BAG3,PSMC2
407,BAG3,SLC35E3
408,BAG3,TNK2
409,BAG3,MYH6
410,BAG3,CAPN1
411,BAG3,PPP2CA
412,BAG3,G3BP1
413,BAG3,GSKIP
414,BAG3,RPS2
415,BAG3,PPA2
416,BAG3,UBA1
417,BAG3,SRC
418,BAG3,ACLY
419,BAG3,TTC32
420,BAG3,RUVBL2
421,BAG3,NCL
422,BAG3,ATG3
423,BAG3,TRIM69
424,BAG3,PIGV
425,BAG3,CRACR2B
426,BAG3,UROD
427,BAG3,FUZ
428,BAG3,LAMTOR1
429,BAG3,NXF1
430,BAG3,MAGED1
431,BAG3,CRKL
432,BAG3,NANP
433,BAG3,CUL4B
434,BAG3,TPD52
435,BAG3,COPS4
436,BAG3,DCTN1
437,BAG3,SLC7A1
438,BAG3,PSMD2
439,BAG3,TPRKB
440,BAG3,SLC27A3
441,BAG3,TERF2
442,BAG3,FAM107B
443,BAG3,PSMA3
444,BAG3,CRIP2
445,BAG3,SMAD3
446,BAG3,G6PD
447,BAG3,LAPTM5
448,BAG3,AIF1L
449,BAG3,HAGH
450,BAG3,MLF1
451,BAG3,TMIGD2
452,BAG3,ANKRD39
453,BAG3,DAZAP2
454,BAG3,PRKAG3
455,BAG3,NT5C3A
456,BAG3,UBAC2
457,EGFR,SHC1
458,EGFR,PDGFRB
459,EGFR,CAPRIN1
460,EGFR,CAV3
461,EGFR,CSK
462,EGFR,RIN1
463,EGFR,PRKACA
464,EGFR,CALCOCO2
465,EGFR,MAST2
466,EGFR,PRKDC
467,EGFR,CDK13
468,EGFR,WDR26
469,EGFR,UBAP2L
470,EGFR,PFKM
471,EGFR,TRPM3
472,EGFR,NAA10
473,EGFR,EDEM1
474,EGFR,SLC7A5
475,EGFR,XRCC6
476,EGFR,CASP1
477,EGFR,ATP2B1
478,EGFR,CNPY3
479,EGFR,REEP4
480,EGFR,HOXC10
481,EGFR,PTPN6
482,EGFR,TOMM22
483,EGFR,ZNF114
484,EGFR,AXL
485,EGFR,VAV3
486,EGFR,HSP90AA1
487,EGFR,MCM4
488,EGFR,MON2
489,EGFR,DDX47
490,EGFR,IPO4
491,EGFR,CNP
492,EGFR,CEBPZ
493,EGFR,NCAPG2
494,EGFR,PRKCA
495,EGFR,IGF1R
496,EGFR,PLVAP
497,EGFR,AAMDC
498,EGFR,HIST1H3A;HIST1H3B;HIST1H3C;HIST1H3D;HIST1H3E;HIST1H3F;HIST1H3G;HIST1H3H;HIST1H3I;HIST1H3J
499,EGFR,ATP5A1
500,EGFR,PDIA3
501,EGFR,PYCR2
502,EGFR,FKBP4
503,EGFR,NDUFS1
504,EGFR,AFG3L2
505,EGFR,NEK8
506,EGFR,HCK
507,EGFR,UROD
508,EGFR,AP1M1
509,EGFR,RAPGEF1
510,EGFR,CENPL
511,EGFR,UQCRC2
512,EGFR,RET
513,EGFR,TGFB1
514,EGFR,IMMT
515,EGFR,ARF6
516,EGFR,MRPL43
517,EGFR,CAV2
518,EGFR,PRKD1
519,EGFR,DPP4
520,EGFR,SLCO3A1
521,EGFR,UBE2V2
522,EGFR,AP1S1
523,EGFR,KPNA1
524,EGFR,SFN
525,EGFR,LGALS3
526,EGFR,EFHD2
527,EGFR,COQ8A
528,EGFR,CARS2
529,EGFR,ATP2B4
530,EGFR,PTPRA
531,EGFR,STAT2
532,EGFR,LAPTM4B
533,EGFR,TGFA
534,EGFR,FLOT2
535,EGFR,PPP2R2A
536,EGFR,EHD4
537,EGFR,TMBIM1
538,EGFR,YWHAE
539,EGFR,SLC25A5
540,EGFR,SERAC1
541,EGFR,YBEY
542,EGFR,PFKL
543,EGFR,TRAPPC5
544,EGFR,ZFYVE21
545,EGFR,EMC3
546,EGFR,PDXDC1
547,EGFR,FHL2
548,EGFR,ARMC8
549,EGFR,COL1A2
550,EGFR,FKBP8
551,EGFR,RANGAP1
552,EGFR,PRCC
553,EGFR,GIT2
554,EGFR,EPRS
555,EGFR,THOP1
556,EGFR,S100A9
557,EGFR,ERCC4
558,EGFR,DERL1
559,EGFR,BAG5
560,EGFR,TNPO1
561,EGFR,SERBP1
562,EGFR,PIK3R3
563,EGFR,ILF3
564,EGFR,SPAG8
565,EGFR,MDH1
566,EGFR,PNO1
