UniProt1	UniProt2	symbol1	symbol2	evidence type	heart
O15273	Q8WZ42	TCAP	TTN	exp;pred	1
O15273	P50461	TCAP	CSRP3	exp;pred	1
O15273	P13929	TCAP	ENO3	exp;pred	1
O15273	P06733	TCAP	ENO1	exp	1
O15273	Q9NP98	TCAP	MYOZ1	exp;pred	1
O15273	O60662	TCAP	KLHL41	exp	1
O15273	O15530	TCAP	PDPK1	exp	1
O15273	Q00987	TCAP	MDM2	exp	1
O15273	P45973	TCAP	CBX5	exp	1
O15273	Q04206	TCAP	RELA	exp	1
O15273	Q8TDC0	TCAP	MYOZ3	exp;ortho;pred	1
O15273	Q12988	TCAP	HSPB3	exp	1
O15273	P54253	TCAP	ATXN1	exp	1
O15273	Q16082	TCAP	HSPB2	exp	1
O15273	Q9BRR6	TCAP	ADPGK	exp	1
O15273	Q9HAU4	TCAP	SMURF2	exp;pred	1
O15273	P34932	TCAP	HSPA4	exp	1
O15273	P46108	TCAP	CRK	exp	1
O15273	Q9NPC6	TCAP	MYOZ2	exp;pred	1
O15273	Q8WUM0	TCAP	NUP133	exp	1
O15273	Q6DKK2	TCAP	TTC19	exp	1
O15273	Q969G2	TCAP	LHX4	exp	1
O15273	Q9UHD1	TCAP	CHORDC1	exp	1
O15273	P98160	TCAP	HSPG2	exp;pred	1
O15273	O43504	TCAP	LAMTOR5	exp	1
O15273	P06241	TCAP	FYN	exp;pred	1
O15273	Q9GZV1	TCAP	ANKRD2	exp;pred	1
O15273	P25445	TCAP	FAS	exp	1
O15273	Q9UNE7	TCAP	STUB1	exp	1
O15273	Q9BYV6	TCAP	TRIM55	exp	1
O15273	Q969Q1	TCAP	TRIM63	exp;pred	1
O15273	O15304	TCAP	SIVA1	exp	1
O60706	Q15842	ABCC9	KCNJ8	exp;pred	1
O60706	Q16082	ABCC9	HSPB2	exp	1
O60706	Q16623	ABCC9	STX1A	exp	1
O60706	P00338	ABCC9	LDHA	exp	1
O75072	P20036	FKTN	HLA-DPA1	exp	1
O75072	Q9Y2B1	FKTN	TMEM5	exp	1
O75072	P62633	FKTN	CNBP	exp	1
O75112	Q9NP98	LDB3	MYOZ1	exp;pred	1
O75112	P61586	LDB3	RHOA	exp	1
O75112	P35609	LDB3	ACTN2	exp;ortho;pred	1
O75112	P61916	LDB3	NPC2	exp	1
O75112	Q8TDC0	LDB3	MYOZ3	exp;ortho;pred	1
O75112	Q9NPC6	LDB3	MYOZ2	exp;pred	1
O75112	P24539	LDB3	ATP5F1	exp	1
O76041	Q702N8	NEBL	XIRP1	exp	1
O76041	Q9NSC5	NEBL	HOMER3	exp	1
O76041	Q92620	NEBL	DHX38	exp	1
O76041	Q5SW79	NEBL	CEP170	exp	1
O76041	Q08379	NEBL	GOLGA2	exp	1
O76041	Q969Q1	NEBL	TRIM63	exp	1
O76041	Q13077	NEBL	TRAF1	exp	1
O76041	Q8IUH5	NEBL	ZDHHC17	exp	1
O76041	Q9BRK4	NEBL	LZTS2	exp	1
O76041	P12814	NEBL	ACTN1	exp;pred	1
O76041	Q96JN2	NEBL	CCDC136	exp	1
O76041	Q96NL6	NEBL	SCLT1	exp	1
O76041	P30047	NEBL	GCHFR	exp	1
O76041	Q9HAU4	NEBL	SMURF2	exp	1
O76041	Q8IW45	NEBL	NAXD	exp	1
O76041	Q14203	NEBL	DCTN1	exp;pred	1
O76041	Q08043	NEBL	ACTN3	exp	1
O76041	Q96IK5	NEBL	GMCL1	exp	1
O76041	Q86TC9	NEBL	MYPN	exp;pred	1
O76041	Q96H86	NEBL	ZNF764	exp	1
O76041	Q15942	NEBL	ZYX	exp;pred	1
O76041	P60709	NEBL	ACTB	exp	1
O76041	P14373	NEBL	TRIM27	exp	1
O76041	Q9BYV6	NEBL	TRIM55	exp	1
O76041	Q86Y26	NEBL	NUTM1	exp	1
O76041	Q9H204	NEBL	MED28	exp	1
O76041	Q92731	NEBL	ESR2	exp	1
O76082	Q01581	SLC22A5	HMGCS1	exp	1
O76082	Q9GZM5	SLC22A5	YIPF3	exp	1
O76082	P05412	SLC22A5	JUN	exp	1
O76082	Q15717	SLC22A5	ELAVL1	exp	1
O76082	Q15599	SLC22A5	SLC9A3R2	exp	1
O95677	O95817	EYA4	BAG3	exp	1
O95677	Q8IUD2	EYA4	ERC1	exp	1
O95677	Q2KHR3	EYA4	QSER1	exp	1
O95677	Q5NDL2	EYA4	EOGT	exp	1
O95677	Q92997	EYA4	DVL3	exp	1
O95677	Q15149	EYA4	PLEC	exp	1
O95677	P35244	EYA4	RPA3	exp	1
O95677	Q99959	EYA4	PKP2	exp	1
O95677	Q2M2I8	EYA4	AAK1	exp	1
O95677	Q6ZMQ8	EYA4	AATK	exp	1
O95677	Q8NDC0	EYA4	MAPK1IP1L	exp	1
O95677	Q9H773	EYA4	DCTPP1	exp	1
O95677	Q86V48	EYA4	LUZP1	exp	1
O95677	Q9UHV9	EYA4	PFDN2	exp	1
O95677	Q3V6T2	EYA4	CCDC88A	exp	1
O95677	Q9NPC8	EYA4	SIX2	exp;ortho	1
O95677	Q5HYK3	EYA4	COQ5	exp	1
O95677	Q04760	EYA4	GLO1	exp	1
O95677	P35610	EYA4	SOAT1	exp	1
O95677	Q8TCY9	EYA4	URGCP	exp	1
O95677	P62837	EYA4	UBE2D2	exp	1
O95677	P42694	EYA4	HELZ	exp	1
O95677	P21860	EYA4	ERBB3	exp	1
O95677	Q9P0K8	EYA4	FOXJ2	exp	1
O95677	P15927	EYA4	RPA2	exp	1
O95677	O95677	EYA4	EYA4	exp;ortho	1
O95817	Q92556	BAG3	ELMO1	exp	1
O95817	Q9BPZ3	BAG3	PAIP2	exp	1
O95817	Q96B54	BAG3	ZNF428	exp	1
O95817	Q8TEW6	BAG3	DOK4	exp	1
O95817	Q8IU85	BAG3	CAMK1D	exp	1
O95817	Q5VUJ9	BAG3	EFCAB2	exp	1
O95817	Q9H7C9	BAG3	AAMDC	exp	1
O95817	Q9NQZ5	BAG3	STARD7	exp	1
O95817	Q00613	BAG3	HSF1	exp;pred	1
O95817	P10415	BAG3	BCL2	exp;ortho;pred	1
O95817	P00558	BAG3	PGK1	exp	1
O95817	P04792	BAG3	HSPB1	exp;pred	1
O95817	Q9BXJ2	BAG3	C1QTNF7	exp	1
O95817	Q9UBV8	BAG3	PEF1	exp	1
O95817	Q8WYQ9	BAG3	ZCCHC14	exp	1
O95817	Q14376	BAG3	GALE	exp	1
O95817	Q9Y224	BAG3	RTRAF	exp	1
O95817	Q8IZQ1	BAG3	WDFY3	exp	1
O95817	Q9H061	BAG3	TMEM126A	exp	1
O95817	P32322	BAG3	PYCR1	exp	1
O95817	P04424	BAG3	ASL	exp	1
O95817	Q9NRY2	BAG3	INIP	exp	1
O95817	Q13501	BAG3	SQSTM1	exp;pred	1
O95817	Q9H4A3	BAG3	WNK1	exp	1
O95817	Q9UHY7	BAG3	ENOPH1	exp	1
O95817	P61086	BAG3	UBE2K	exp	1
O95817	P18827	BAG3	SDC1	exp	1
O95817	P48556	BAG3	PSMD8	exp	1
O95817	Q99832	BAG3	CCT7	exp	1
O95817	Q9NTK5	BAG3	OLA1	exp	1
O95817	P50502	BAG3	ST13	exp	1
O95817	Q8WXB1	BAG3	METTL21A	exp	1
O95817	P04080	BAG3	CSTB	exp	1
O95817	Q9NR45	BAG3	NANS	exp	1
O95817	P54819	BAG3	AK2	exp	1
O95817	Q06787	BAG3	FMR1	exp	1
O95817	Q15653	BAG3	NFKBIB	exp	1
O95817	P63172	BAG3	DYNLT1	exp	1
O95817	Q6UXU6	BAG3	TMEM92	exp	1
O95817	Q03013	BAG3	GSTM4	exp	1
O95817	Q9BV57	BAG3	ADI1	exp	1
O95817	Q15427	BAG3	SF3B4	exp	1
O95817	P09132	BAG3	SRP19	exp	1
O95817	P11908	BAG3	PRPS2	exp	1
O95817	P61289	BAG3	PSME3	exp	1
O95817	Q5U651	BAG3	RASIP1	exp	1
O95817	P25398	BAG3	RPS12	exp	1
O95817	Q8WUD1	BAG3	RAB2B	exp	1
O95817	Q9BRP0	BAG3	OVOL2	exp	1
O95817	Q2TAK8	BAG3	MUM1	exp	1
O95817	P17706	BAG3	PTPN2	exp	1
O95817	Q13829	BAG3	TNFAIP1	exp	1
O95817	Q9Y5Y2	BAG3	NUBP2	exp	1
O95817	Q9NQH7	BAG3	XPNPEP3	exp	1
O95817	Q9BUJ2	BAG3	HNRNPUL1	exp	1
O95817	P51795	BAG3	CLCN5	exp	1
